Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Europe,Finland,Finnvera Oyj,Government Related Bonds,649743078,73941151,Finland
Europe,Finland,Fortum Oyj,Government Related Bonds,784261542,89249433,Finland
Europe,Finland,Government of Finland,Government,15228208949,1732979294,Finland
Europe,Finland,Municipality Finance PLC,Government Related Bonds,401860199,45731931,Finland
Europe,Finland,Nordea Bank Abp,Corporate Bonds,1374563425,156426141,Finland
Europe,Finland,Nordea Mortgage Bank Plc,Securitized Bonds,1397385983,159023361,Finland
Europe,Finland,Oma Saastopankki Oyj,Securitized Bonds,944395386,107472760,Finland
Europe,Finland,OP Corporate Bank plc,Corporate Bonds,1611888668,183433895,Finland
Europe,Finland,OP Mortgage Bank,Securitized Bonds,889417495,101216243,Finland
Europe,Finland,Sampo Oyj,Corporate Bonds,678543874,77218699,Finland
Europe,Finland,SP-Kiinnitysluottopankki Oyj,Securitized Bonds,634808192,72241552,Finland
Europe,Finland,Suomen Hypoteekkiyhdistys,Securitized Bonds,1103517453,125580947,Finland
Europe,France,Action Logement Services,Government Related Bonds,240215052,27336617,France
Europe,France,Agence Francaise de Developpement EPIC,Government Related Bonds,4159451267,473348044,France
Europe,France,Agence France Locale,Government Related Bonds,513105750,58391742,France
Europe,France,Air Liquide Finance SA,Corporate Bonds,632693229,72000868,France
Europe,France,Alstom SA,Corporate Bonds,203319570,23137889,France
Europe,France,ALD SA,Corporate Bonds,655697199,74618734,France
Europe,France,Arkea Home Loans SFH SA,Securitized Bonds,804008188,91496613,France
Europe,France,Arkema SA,Corporate Bonds,106337165,12101233,France
Europe,France,Atos SE,Corporate Bonds,401600418,45702368,France
Europe,France,Auchan Holding SA,Corporate Bonds,255160066,29037368,France
Europe,France,Autoroutes du Sud de la France SA,Corporate Bonds,241463662,27478709,France
Europe,France,AXA Bank Europe SCF,Securitized Bonds,429489662,48876181,France
Europe,France,AXA Home Loan SFH SA,Securitized Bonds,853222662,97097250,France
Europe,France,AXA SA,Corporate Bonds,764530311,87004007,France
Europe,France,Banque Federative du Credit Mutuel SA,Corporate Bonds,3016140830,343238632,France
Europe,France,BNP Paribas Cardif SA,Corporate Bonds,543359132,61834594,France
Europe,France,BNP Paribas SA,Corporate Bonds,5125813353,583320628,France
Europe,France,Bpifrance Financement SA,Government Related Bonds,3414774585,388603392,France
Europe,France,BPCE SA,Corporate Bonds,2935533811,334065505,France
Europe,France,BPCE SFH SA,Securitized Bonds,1496307197,170280655,France
Europe,France,Caisse Centrale du Credit Immobilier de France SA,Government Related Bonds,1343027417,152837324,France
Europe,France,Caisse des Depots et Consignations,Government Related Bonds,70147957,7982880,France
Europe,France,Caisse de Refinancement de l'Habitat SA,Securitized Bonds,1177861361,134041328,France
Europe,France,Caisse d'Amortissement de la Dette Sociale,Government Related Bonds,832238302,94709217,France
Europe,France,Caisse Francaise de Financement Local,Securitized Bonds,1216638236,138454160,France
Europe,France,Caisse Nationale de Reassurance Mutuelle Agricole Groupama,Corporate Bonds,241635807,27498299,France
Europe,France,Capgemini SE,Corporate Bonds,67994380,7737801,France
Europe,France,Christian Dior SE,Corporate Bonds,199554089,22709375,France
Europe,France,Cie de Financement Foncier SA,Securitized Bonds,1829373332,208183780,France
Europe,France,CIF Euromortgage SA,Securitized Bonds,700240818,79687824,France
Europe,France,CNP Assurances,Corporate Bonds,316085515,35970721,France
Europe,France,Credit Agricole Assurances SA,Corporate Bonds,552026188,62820911,France
Europe,France,Credit Agricole Home Loan SFH SA,Securitized Bonds,1818676555,206966481,France
Europe,France,Credit Agricole Public Sector SCF SA,Securitized Bonds,203637043,23174017,France
Europe,France,Credit Agricole SA,Corporate Bonds,2776454940,315962234,France
Europe,France,Danone SA,Corporate Bonds,490870028,55861303,France
Europe,France,Dassault Systemes SE,Corporate Bonds,984154083,111997324,France
Europe,France,Electricite de France SA,Government Related Bonds,2756864516,313732832,France
Europe,France,Engie SA,Corporate Bonds,2282392832,259737670,France
Europe,France,EssilorLuxottica SA,Corporate Bonds,657453335,74818583,France
Europe,France,Gecina SA,Corporate Bonds,163008407,18550454,France
Europe,France,Government of France,Government,80783028995,9193157056,France
Europe,France,Holding d'Infrastructures de Transport SASU,Corporate Bonds,71212159,8103986,France
Europe,France,La Banque Postale Home Loan SFH SA,Securitized Bonds,512321120,58302450,France
Europe,France,La Banque Postale SA,Government Related Bonds,305096411,34720154,France
Europe,France,Legrand SA,Corporate Bonds,251112320,28576732,France
Europe,France,LVMH Moet Hennessy Louis Vuitton SE,Corporate Bonds,312295986,35539470,France
Europe,France,MMB SCF SACA,Securitized Bonds,475690628,54133878,France
Europe,France,MMS USA Investments Inc,Corporate Bonds,217817164,24787724,United States
Europe,France,Orange SA,Corporate Bonds,5045138665,574139800,France
Europe,France,Pernod Ricard SA,Corporate Bonds,1253706137,142672509,France
Europe,France,RCI Banque SA,Corporate Bonds,123821288,14090937,France
Europe,France,Regie Autonome des Transports Parisiens,Government Related Bonds,147135247,16744079,France
Europe,France,Region of Ile de France,Government Related Bonds,938750337,106830350,France
Europe,France,Renault SA,Corporate Bonds,189601862,21576805,France
Europe,France,RTE Reseau de Transport d'Electricite SADIR,Government Related Bonds,557901128,63489482,France
Europe,France,Sanofi,Corporate Bonds,3547344711,403689952,France
Europe,France,Schneider Electric SE,Corporate Bonds,1360835983,154863949,France
Europe,France,SFIL SA,Government Related Bonds,497898498,56661147,France
Europe,France,SNCF Mobilites,Government Related Bonds,92107881,10481932,France
Europe,France,SNCF Reseau,Government Related Bonds,1161265949,132152760,France
Europe,France,Societe Du Grand Paris EPIC,Government Related Bonds,1023681912,116495614,France
Europe,France,Societe Fonciere Lyonnaise SA,Corporate Bonds,333617586,37965881,France
Europe,France,Societe Generale SA,Corporate Bonds,3016224138,343248112,France
Europe,France,Societe Generale SFH SA,Securitized Bonds,1595919968,181616648,France
Europe,France,Sodexo SA,Corporate Bonds,103619552,11791967,France
Europe,France,Technicolor SA,Corporate Bonds,7102,808,France
